Date (YYYY-MM-DD)	Day of the Week	Time of Day	Location	Location Rank	Incident Nature	Incident Rank
2024-04-03	4	21	2960 CLASSEN BLVD	12	Welfare Check	4
2024-04-03	4	21	1200 N CRAWFORD AVE	140	Disturbance/Domestic	4
2024-04-03	4	21	201 W GRAY ST	3	Contact a Subject	3
2024-04-03	4	21	909 BRANDYWINE LN	54	Medical Call Pd Requested	27
2024-04-03	4	21	909 BRANDYWINE LN	54	Medical Call Pd Requested	27
2024-04-03	4	21	1800 BEAUMONT DR	12	Assault EMS Needed	32
2024-04-03	4	21	1800 BEAUMONT DR	12	Assault EMS Needed	32
2024-04-03	4	21	1800 BEAUMONT DR	12	Disturbance/Domestic	4
2024-04-03	4	22	401 12TH AVE SE	21	Contact a Subject	3
2024-04-03	4	22	800 LEXINGTON ST	9	Runaway or Lost Child	32
2024-04-03	4	22	1006 FOUNTAIN GATE CIR	12	Welfare Check	4
2024-04-03	4	22	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	22	1241 INTERSTATE DR	140	Traffic Stop	1
2024-04-03	4	22	1341 CREEKSIDE DR	140	Disturbance/Domestic	4
2024-04-03	4	22	1711 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	22	3906 WAVERLY DR	140	Alarm	6
2024-04-03	4	22	3760 N I35 NB I	140	Traffic Stop	1
2024-04-03	4	22	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	22	201 W GRAY ST	3	Civil Standby	32
2024-04-03	4	22	500 STINSON ST	54	Breathing Problems	8
2024-04-03	4	22	500 STINSON ST	54	Breathing Problems	8
2024-04-03	4	22	2920 CHAUTAUQUA AVE	54	911 Call Nature Unknown	37
2024-04-03	4	22	200 VICKSBURG AVE	140	Animal Vicious	72
2024-04-03	4	22	601 12TH AVE NE	33	Hit and Run	25
2024-04-03	4	22	1900 RENAISSANCE DR	21	Overdose/Poisoning	22
2024-04-03	4	22	1900 RENAISSANCE DR	21	Overdose/Poisoning	22
2024-04-03	4	22	1120 E CONSTITUTION ST	140	Traffic Stop	1
2024-04-03	4	22	703 RIDGECREST CT	54	Noise Complaint	27
2024-04-03	4	22	703 RIDGECREST CT	54	Noise Complaint	27
2024-04-03	4	22	1006 FOUNTAIN GATE CIR	12	Falls	10
2024-04-03	4	22	1006 FOUNTAIN GATE CIR	12	Falls	10
2024-04-03	4	22	1006 FOUNTAIN GATE CIR	12	Follow Up	16
2024-04-03	4	23	512 S WEBSTER AVE	140	Traffic Stop	1
2024-04-03	4	23	2505 W MAIN ST	12	Alarm Holdup/Panic	27
2024-04-03	4	23	1201 12TH AVE NE	54	Follow Up	16
2024-04-03	4	23	3720 BROOKHOLLOW RD	140	Public Assist	19
2024-04-03	4	23	109 S BERRY RD	140	Alarm	6
2024-04-03	4	23	201 CHALMETTE DR	54	Disturbance/Domestic	4
2024-04-03	4	23	1256 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	23	3927 24TH AVE SE	140	Noise Complaint	27
2024-04-03	4	23	19901 WOODRIDGE DR	54	Chest Pain	32
2024-04-03	4	23	19901 WOODRIDGE DR	54	Chest Pain	32
2024-04-03	4	23	2373 W BOYD ST	140	Traffic Stop	1
2024-04-03	4	23	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	23	1815 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	23	631 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	23	3030 WILLIAM PEREIRA DR	140	Suspicious	13
2024-04-03	4	23	2698 E LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	23	850 ED NOBLE PKWY	140	Contact a Subject	3
2024-04-03	4	23	1136 W LINDSEY ST	140	COP Problem Solving	48
2024-04-03	4	23	3146 N FLOOD AVE	140	Traffic Stop	1
2024-04-03	4	23	720 ELM AVE	140	Fire Alarm	48
2024-04-03	4	23	1330 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	23	1169 24TH AVE SW	140	Traffic Stop	1
2024-04-04	5	0	724 24TH AVE NW	140	Traffic Stop	1
2024-04-04	5	0	1800 BEAUMONT DR	12	Noise Complaint	27
2024-04-04	5	0	1213 W LINDSEY ST	140	Traffic Stop	1
2024-04-04	5	0	351 E ROBINSON ST	54	Animal Injured	48
2024-04-04	5	0	1110 W MAIN ST	140	Traffic Stop	1
2024-04-04	5	0	5442 HUETTNER DR	140	Contact a Subject	3
2024-04-04	5	0	W MAIN ST / S BERRY RD	140	Traffic Stop	1
2024-04-04	5	0	580 W LINDSEY ST	140	Traffic Stop	1
2024-04-04	5	0	301 W BOYD ST	140	Public Intoxication	48
2024-04-04	5	0	HUETTNER DR / YORK DR	140	Traffic Stop	1
2024-04-04	5	0	576 W LINDSEY ST	140	Traffic Stop	1
2024-04-04	5	1	2505 W MAIN ST	12	Alarm Holdup/Panic	27
2024-04-04	5	1	625 W ACRES ST	54	Sick Person	7
2024-04-04	5	1	625 W ACRES ST	54	Sick Person	7
2024-04-04	5	1	421 W LINDSEY ST	54	Traffic Stop	1
2024-04-04	5	1	421 W LINDSEY ST	54	Traffic Stop	1
2024-04-04	5	1	1377 W BOYD ST	140	Traffic Stop	1
2024-04-04	5	1	3001 OAK TREE AVE	12	Sick Person	7
2024-04-04	5	1	3001 OAK TREE AVE	12	Sick Person	7
2024-04-04	5	1	3001 OAK TREE AVE	12	Welfare Check	4
2024-04-04	5	1	617 INTERSTATE DR	21	Alarm	6
2024-04-04	5	1	12TH AVE NE / E ROBINSON ST	54	Contact a Subject	3
2024-04-04	5	1	35.2377566666667;-97.4269266666667	140	Contact a Subject	3
2024-04-04	5	2	W BOYD ST / BUCHANAN AVE	140	Disturbance/Domestic	4
2024-04-04	5	2	184 E ACRES ST	140	Traffic Stop	1
2024-04-04	5	2	2131 VANESSA DR	140	Contact a Subject	3
2024-04-04	5	2	W TECUMSEH RD / N INTERSTATE DR	140	Contact a Subject	3
2024-04-04	5	2	201 WOODCREST DR	54	Breathing Problems	8
2024-04-04	5	2	201 WOODCREST DR	54	Breathing Problems	8
2024-04-04	5	2	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	2	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	2	W ROCK CREEK RD / STUBBEMAN AVE	140	Traffic Stop	1
2024-04-04	5	2	109 W HIMES ST	140	Disturbance/Domestic	4
2024-04-04	5	2	800 W ROBINSON ST	140	Suspicious	13
2024-04-04	5	2	5626 HUETTNER DR	140	Contact a Subject	3
2024-04-04	5	2	615 W MAIN ST	140	Contact a Subject	3
2024-04-04	5	2	CLASSEN BLVD / E DUFFY ST	140	Traffic Stop	1
2024-04-04	5	3	2851 N FLOOD AVE	140	Alarm	6
2024-04-04	5	3	1900 RENAISSANCE DR	21	Check Area	15
2024-04-04	5	3	W GRAY ST / N JONES AVE	140	Contact a Subject	3
2024-04-04	5	3	1111 24TH AVE SW	54	Traffic Stop	1
2024-04-04	5	3	617 INTERSTATE DR	21	Alarm	6
2024-04-04	5	3	W MAIN ST / 36TH AVE NW	140	Traffic Stop	1
2024-04-04	5	4	2803 24TH AVE NW	21	Falls	10
2024-04-04	5	4	2803 24TH AVE NW	21	Falls	10
2024-04-04	5	4	2000 S I35 SB I	140	Fire Smoke Investigation	72
2024-04-04	5	4	800 CANADIAN TRAILS DR	12	Medical Call Pd Requested	27
2024-04-04	5	4	800 CANADIAN TRAILS DR	12	Medical Call Pd Requested	27
2024-04-04	5	4	800 CANADIAN TRAILS DR	12	Assist Fire	60
2024-04-04	5	4	1942 24TH AVE NW	54	Alarm	6
2024-04-04	5	4	2127 HOUSTON AVE	140	Open Door/Premises Check	32
2024-04-04	5	4	1942 24TH AVE NW	54	Alarm	6
2024-04-04	5	4	901 N PORTER AVE	1	Welfare Check	4
2024-04-04	5	5	318 E HAYES ST	21	Follow Up	16
2024-04-04	5	6	1111 24TH AVE SW	54	Public Assist	19
2024-04-04	5	6	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-04	5	6	950 N PORTER AVE	140	Suspicious	13
2024-04-04	5	7	2351 INTERSTATE DR	140	Alarm	6
2024-04-04	5	7	131 E MAIN ST	140	Alarm	6
2024-04-04	5	7	409 TRINIDAD DR	140	Alarm	6
2024-04-04	5	7	126 W HIMES ST	140	Animal Trapped	37
2024-04-04	5	7	973 E ROBINSON ST	140	Traffic Stop	1
2024-04-04	5	7	118 COOK AVE	140	Trespassing	10
2024-04-04	5	7	121 E HIMES ST	140	Disturbance/Domestic	4
2024-04-04	5	7	3750 W MAIN ST	33	Trespassing	10
2024-04-04	5	7	N PETERS AVE / E ACRES ST	140	Traffic Stop	1
2024-04-04	5	8	1322 REGENT ST	33	Animal Dead	42
2024-04-04	5	8	2505 W MAIN ST	12	COP Problem Solving	48
2024-04-04	5	8	HOUSTON AVE / E LINDSEY ST	33	Traumatic Injury	60
2024-04-04	5	8	HOUSTON AVE / E LINDSEY ST	33	Traumatic Injury	60
2024-04-04	5	8	HOUSTON AVE / E LINDSEY ST	33	Welfare Check	4
2024-04-04	5	8	5512 36TH AVE NW	140	Alarm	6
2024-04-04	5	8	2740 MEADOWBROOK DR	140	Follow Up	16
2024-04-04	5	8	2845 BROCE DR	140	Found Item	37
2024-04-04	5	8	797 E ROBINSON ST	140	Traffic Stop	1
2024-04-04	5	8	215 N PONCA AVE, NORMAN	33	Vandalism	37
2024-04-04	5	8	2815 DEWEY AVE	54	Noise Complaint	27
2024-04-04	5	8	101 LAKESIDE DR	140	Welfare Check	4
2024-04-04	5	8	882 E ROBINSON ST	140	Traffic Stop	1
2024-04-04	5	8	4403 12TH AVE SE	54	Breathing Problems	8
2024-04-04	5	8	4403 12TH AVE SE	54	Breathing Problems	8
2024-04-04	5	8	1281 WILMOT ST	140	Alarm	6
2024-04-04	5	8	878 E ROBINSON ST	54	Traffic Stop	1
2024-04-04	5	8	35.2324516666667;-97.4797516666667	140	Traffic Stop	1
2024-04-04	5	8	201 REED AVE	6	Disturbance/Domestic	4
2024-04-04	5	8	721 ACCIPITER ST	140	Fire Gas Leak	42
2024-04-04	5	8	7458 ETOWAH RD	140	Traffic Stop	1
2024-04-04	5	8	201 S CREEKDALE DR	54	Larceny	10
2024-04-04	5	8	3200 W ROBINSON ST	140	Trespassing	10
2024-04-04	5	8	36TH AVE SE / E LINDSEY ST	54	Check Area	15
2024-04-04	5	9	127 N PORTER AVE	140	Trespassing	10
2024-04-04	5	9	S SOUTH LAKE BLVD / CLASSEN BLVD	140	Traffic Stop	1
2024-04-04	5	9	251 12TH AVE SE	54	Found Item	37
2024-04-04	5	9	1809 STUBBEMAN AVE	9	911 Call Nature Unknown	37
2024-04-04	5	9	700 N BERRY RD	33	Overdose/Poisoning	22
2024-04-04	5	9	700 N BERRY RD	33	Overdose/Poisoning	22
2024-04-04	5	9	1600 ANN BRANDEN BLVD	140	Compliance Check	72
2024-04-04	5	9	601 12TH AVE NE	33	Disturbance/Domestic	4
2024-04-04	5	9	1776 E ROBINSON ST	12	Falls	10
2024-04-04	5	9	3205 W ROBINSON ST	140	Trespassing	10
2024-04-04	5	9	201 W GRAY ST	3	Contact a Subject	3
2024-04-04	5	9	323 E MOSIER ST	54	Trespassing	10
2024-04-04	5	9	743 E ROBINSON ST	140	Traffic Stop	1
2024-04-04	5	9	4374 120TH AVE SE	140	Traffic Stop	1
2024-04-04	5	9	1154 ALAMEDA ST	140	Traffic Stop	1
2024-04-04	5	9	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	9	911 W IMHOFF RD	140	Animal at Large	19
2024-04-04	5	9	1612 DAKOTA ST	140	Disturbance/Domestic	4
2024-04-04	5	9	1182 SONOMA PARK DR	140	Traffic Stop	1
2024-04-04	5	9	904 JONA KAY TER	140	Contact a Subject	3
2024-04-04	5	9	878 E ROBINSON ST	54	Traffic Stop	1
2024-04-04	5	9	201 REED AVE	6	Breathing Problems	8
2024-04-04	5	9	201 REED AVE	6	Breathing Problems	8
2024-04-04	5	9	1074 N INTERSTATE DR	140	Traffic Stop	1
2024-04-04	5	10	1534 HOLLYWOOD AVE	54	Barking Dog	60
2024-04-04	5	10	3806 HIGHPOINT CT	54	Sick Person	7
2024-04-04	5	10	3806 HIGHPOINT CT	54	Sick Person	7
2024-04-04	5	10	2204 ARCADY AVE	140	Fraud	22
2024-04-04	5	10	2100 W BROOKS ST	140	Contact a Subject	3
2024-04-04	5	10	330 ED NOBLE PKWY	140	Contact a Subject	3
2024-04-04	5	10	1601 E IMHOFF RD	54	Welfare Check	4
2024-04-04	5	10	N FINDLAY AVE / E HUGHBERT ST	140	Contact a Subject	3
2024-04-04	5	10	222 S PORTER AVE	140	Contact a Subject	3
2024-04-04	5	10	NAPOLI CT / N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	10	1622 W ROBINSON ST	21	Animal Trapped	37
2024-04-04	5	10	425 POPPY LN	140	Open Door/Premises Check	32
2024-04-04	5	10	201 S CREEKDALE DR	54	Welfare Check	4
2024-04-04	5	10	100 CHARDONNAY LN	140	Traffic Stop	1
2024-04-04	5	10	520 QUAIL RIDGE RD	140	Harassment / Threats Report	22
2024-04-04	5	10	2132 W MAIN ST	140	Trespassing	10
2024-04-04	5	10	1776 E ROBINSON ST	12	Unconscious/Fainting	17
2024-04-04	5	10	1776 E ROBINSON ST	12	Sick Person	7
2024-04-04	5	11	911 W MAIN ST	5	Contact a Subject	3
2024-04-04	5	11	GRADY MEMORIAL	140	Transfer/Interfacility	2
2024-04-04	5	11	1527 24TH AVE SW	140	Found Item	37
2024-04-04	5	11	333 STAFFORD SQ	54	Welfare Check	4
2024-04-04	5	11	700 ASP AVE	140	Contact a Subject	3
2024-04-04	5	11	831 BILOXI DR	140	Animal at Large	19
2024-04-04	5	11	N PORTER AVE / HALIFAX WAY	140	Traffic Stop	1
2024-04-04	5	11	2100 36TH AVE NW	54	Heart Problems/AICD	60
2024-04-04	5	11	2100 36TH AVE NW	54	Heart Problems/AICD	60
2024-04-04	5	11	201 W GRAY ST	3	Contact a Subject	3
2024-04-04	5	11	2556 CLASSEN BLVD	140	Fire Fuel Spill	72
2024-04-04	5	11	215 N PONCA AVE	140	Fight	60
2024-04-04	5	11	ALAMEDA ST / TRIAD VILLAGE DR	140	Motorist Assist	19
2024-04-04	5	11	168TH AVE NE / E STATE HWY 9 HWY	140	Animal at Large	19
2024-04-04	5	11	300 NORMAN CENTER CT	33	Chest Pain	32
2024-04-04	5	11	300 NORMAN CENTER CT	33	Chest Pain	32
2024-04-04	5	11	2520 W MAIN ST	140	Larceny	10
2024-04-04	5	11	1519 E BOYD ST	140	Animal at Large	19
2024-04-04	5	11	536 WOODSONG DR	140	Fraud	22
2024-04-04	5	11	320 12TH AVE SE	140	Contact a Subject	3
2024-04-04	5	11	N PORTER AVE / NANTUCKET BLVD	140	Traffic Stop	1
2024-04-04	5	11	513 W DAWS ST	140	Animal Injured	48
2024-04-04	5	11	2960 CLASSEN BLVD	12	Found Item	37
2024-04-04	5	11	TECUMSEH RIDGE RD / N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	12	3688 N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	12	ALAMEDA ST / 12TH AVE NE	140	Traffic Stop	1
2024-04-04	5	12	901 N PORTER AVE	1	Escort/Transport	48
2024-04-04	5	12	17500 MIDNIGHT DR	21	Fire Vehicle	48
2024-04-04	5	12	17500 MIDNIGHT DR	21	Fire Vehicle	48
2024-04-04	5	12	17500 MIDNIGHT DR	21	Burns/Explosions	72
2024-04-04	5	12	201 REED AVE	6	Disturbance/Domestic	4
2024-04-04	5	12	3313 GLISTEN ST	140	Fire Gas Leak	42
2024-04-04	5	12	1806 24TH AVE NW	21	Convulsion/Seizure	27
2024-04-04	5	12	1806 24TH AVE NW	21	Convulsion/Seizure	27
2024-04-04	5	12	442 BRYARWOOD DR	140	Welfare Check	4
2024-04-04	5	12	1900 RENAISSANCE DR	21	Fraud	22
2024-04-04	5	12	S COCKREL AVE / E EUFAULA ST	140	Contact a Subject	3
2024-04-04	5	12	3000 QUEENSTON AVE	140	Disturbance/Domestic	4
2024-04-04	5	12	3001 OAK TREE AVE	12	Welfare Check	4
2024-04-04	5	12	2900 JENKINS AVE	7	Falls	10
2024-04-04	5	12	2900 JENKINS AVE	7	Falls	10
2024-04-04	5	12	1311 DA VINCI ST	140	Pick Up Partner	72
2024-04-04	5	12	3750 W MAIN ST	33	Trespassing	10
2024-04-04	5	12	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	12	2020 N FLOOD AVE	140	Traffic Stop	1
2024-04-04	5	12	1809 STUBBEMAN AVE	9	MVA Non Injury	8
2024-04-04	5	13	503 24TH AVE NW	140	Harassment / Threats Report	22
2024-04-04	5	13	898 N FLOOD AVE	140	Traffic Stop	1
2024-04-04	5	13	701 E ROBINSON ST	140	Traffic Stop	1
2024-04-04	5	13	2034 N FLOOD AVE	140	Traffic Stop	1
2024-04-04	5	13	3550 W ROBINSON ST	33	Alarm Holdup/Panic	27
2024-04-04	5	13	1020 24TH AVE NW	54	Unconscious/Fainting	17
2024-04-04	5	13	1020 24TH AVE NW	54	Unconscious/Fainting	17
2024-04-04	5	13	3001 OAK TREE AVE	12	Animal Trapped	37
2024-04-04	5	13	400 E ROBINSON ST	140	Welfare Check	4
2024-04-04	5	13	1251 ALAMEDA ST	54	Follow Up	16
2024-04-04	5	13	217 W BOYD ST	54	Check Area	15
2024-04-04	5	13	412 STARSHINE DR	54	Falls	10
2024-04-04	5	13	412 STARSHINE DR	54	Falls	10
2024-04-04	5	13	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	13	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	13	1827 BEAUMONT DR	140	Supplement Report	42
2024-04-04	5	13	W BROOKS ST / MCGEE DR	54	COP DDACTS	37
2024-04-04	5	13	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	14	1010 N FLOOD AVE	140	Trespassing	10
2024-04-04	5	14	4204 CLASSEN CIR	140	Follow Up	16
2024-04-04	5	14	1601 E IMHOFF RD	54	Disturbance/Domestic	4
2024-04-04	5	14	W BROOKS ST / MCGEE DR	54	COP DDACTS	37
2024-04-04	5	14	401 BENT TREE RD	140	Mutual Aid	48
2024-04-04	5	14	1918 W MAIN ST	140	Civil Standby	32
2024-04-04	5	14	1831 W BROOKS ST	140	Traffic Stop	1
2024-04-04	5	14	421 WILLOW BRANCH RD	54	Breathing Problems	8
2024-04-04	5	14	421 WILLOW BRANCH RD	54	Breathing Problems	8
2024-04-04	5	14	1016 26TH AVE NW	54	Fire Alarm	48
2024-04-04	5	14	300 NORMAN CENTER CT	33	Contact a Subject	3
2024-04-04	5	14	1600 CANTERBURY ST	54	Breathing Problems	8
2024-04-04	5	14	1600 CANTERBURY ST	54	Breathing Problems	8
2024-04-04	5	14	4300 SPRINGLAKE DR	140	Suspicious	13
2024-04-04	5	14	3663 N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	14	1861 W BROOKS ST	140	Traffic Stop	1
2024-04-04	5	14	NOBLE MIDDLE SCHOOL	140	COP Relationships	17
2024-04-04	5	14	NOBLE HIGH	140	COP Relationships	17
2024-04-04	5	14	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-04	5	14	TOLLIE DR / CRESTON WAY	140	Animal at Large	19
2024-04-04	5	14	1006 MCGEE DR	140	Traffic Stop	1
2024-04-04	5	14	3500 N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	14	1820 CHERRY STONE ST	54	Sick Person	7
2024-04-04	5	14	1820 CHERRY STONE ST	54	Sick Person	7
2024-04-04	5	14	3203 108TH AVE NE	140	COP Relationships	17
2024-04-04	5	14	1140 MCGEE DR	140	Traffic Stop	1
2024-04-04	5	14	N FLOOD AVE / W GRAY ST	54	Hit and Run	25
2024-04-04	5	14	1618 SOUTHERN HEIGHTS AVE	140	Hit and Run	25
2024-04-04	5	14	11333 BALLARD DR	54	Sick Person	7
2024-04-04	5	14	11333 BALLARD DR	54	Sick Person	7
2024-04-04	5	14	2716 BELMONT DR	140	Animal Dead	42
2024-04-04	5	15	201 W GRAY ST	3	Follow Up	16
2024-04-04	5	15	3584 N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	15	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-04	5	15	15551 LITTLE GRAVEL CIR	54	Drowning/Diving/Scuba Accident	60
2024-04-04	5	15	15551 LITTLE GRAVEL CIR	54	Drowning/Diving/Scuba Accident	60
2024-04-04	5	15	3750 W MAIN ST	33	Contact a Subject	3
2024-04-04	5	15	201 W GRAY ST	3	Contact a Subject	3
2024-04-04	5	15	323 E MOSIER ST	54	911 Call Nature Unknown	37
2024-04-04	5	15	1620 HAZELWOOD DR	140	Parking Problem	25
2024-04-04	5	15	HEMPHILL DR / 24TH AVE NW	140	Contact a Subject	3
2024-04-04	5	15	108TH AVE NE / E FRANKLIN RD	12	MVA With Injuries	13
2024-04-04	5	15	108TH AVE NE / E FRANKLIN RD	12	MVA With Injuries	13
2024-04-04	5	15	108TH AVE NE / E FRANKLIN RD	12	MVA With Injuries	13
2024-04-04	5	15	108TH AVE NE / E FRANKLIN RD	12	MVA With Injuries	13
2024-04-04	5	15	108TH AVE NE / E FRANKLIN RD	12	MVA With Injuries	13
2024-04-04	5	15	117 VICKSBURG AVE	140	Traffic Stop	1
2024-04-04	5	15	111 CRESTMONT AVE	54	Breathing Problems	8
2024-04-04	5	15	111 CRESTMONT AVE	54	Breathing Problems	8
2024-04-04	5	15	201 W GRAY ST	3	Contact a Subject	3
2024-04-04	5	15	1809 STUBBEMAN AVE	9	911 Call Nature Unknown	37
2024-04-04	5	15	ALAMEDA ST / 24TH AVE NE	140	Traffic Stop	1
2024-04-04	5	15	1315 24TH AVE SW	140	Larceny	10
2024-04-04	5	15	217 W BOYD ST	54	Trespassing	10
2024-04-04	5	15	1415 BEAUMONT ST	140	Traffic Stop	1
2024-04-04	5	15	2319 E LINDSEY ST	140	Mutual Aid	48
2024-04-04	5	15	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-04	5	15	N FLOOD AVE / W GRAY ST	54	Contact a Subject	3
2024-04-04	5	15	619 DAKOTA ST	140	Contact a Subject	3
2024-04-04	5	15	1809 STUBBEMAN AVE	9	COP Relationships	17
2024-04-04	5	15	12TH AVE NE / E ROBINSON ST	54	MVA Non Injury	8
2024-04-04	5	15	481 INTERSTATE DR	140	Contact a Subject	3
2024-04-04	5	16	1919 W BOYD ST	54	COP Relationships	17
2024-04-04	5	16	8301 E POST OAK RD	140	Animal at Large	19
2024-04-04	5	16	2900 JENKINS AVE	7	COP Relationships	17
2024-04-04	5	16	2900 JENKINS AVE	7	COP Relationships	17
2024-04-04	5	16	2264 W MAIN ST	140	Trespassing	10
2024-04-04	5	16	N FLOOD AVE / I35 NB ON RAMP 113 RAMP	140	MVA Non Injury	8
2024-04-04	5	16	212 MCCULLOUGH ST	140	Parking Problem	25
2024-04-04	5	16	809 DRAKE DR	140	Larceny	10
2024-04-04	5	16	N FLOOD AVE / NEBRASKA ST	140	MVA Non Injury	8
2024-04-04	5	16	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-04	5	16	1221 E LINDSEY ST	140	Disturbance/Domestic	4
2024-04-04	5	16	1809 STUBBEMAN AVE	9	COP Relationships	17
2024-04-04	5	16	E STATE HWY 9 HWY / 12TH AVE SE	33	Hit and Run	25
2024-04-04	5	16	2201 W BROOKS ST	33	Medical Call Pd Requested	27
2024-04-04	5	16	2201 W BROOKS ST	33	Medical Call Pd Requested	27
2024-04-04	5	16	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	16	3700 W TECUMSEH RD	54	Stroke	48
2024-04-04	5	16	3700 W TECUMSEH RD	54	Sick Person	7
2024-04-04	5	16	17500 MIDNIGHT DR	21	Fire Vehicle	48
2024-04-04	5	16	201 W GRAY ST	3	Follow Up	16
2024-04-04	5	16	18745 CAROL AVE	54	Unconscious/Fainting	17
2024-04-04	5	16	18745 CAROL AVE	54	Unconscious/Fainting	17
2024-04-04	5	16	722 ASP AVE	140	Vandalism	37
2024-04-04	5	16	911 W MAIN ST	5	COP Relationships	17
2024-04-04	5	16	840 BLUESTEM RD	140	Unconscious/Fainting	17
2024-04-04	5	16	13003 ETOWAH RD	54	Stroke	48
2024-04-04	5	16	13003 ETOWAH RD	54	Stroke	48
2024-04-04	5	16	613 ASH LN	140	Open Door/Premises Check	32
2024-04-04	5	16	HIGHLAND PKWY / N FLOOD AVE	140	Check Area	15
2024-04-04	5	16	3651 CLASSEN BLVD	140	Larceny	10
2024-04-04	5	16	12TH AVE NE / E FRANKLIN RD	140	Motorist Assist	19
2024-04-04	5	16	TROUT AVE / E BOYD ST	140	MVA Non Injury	8
2024-04-04	5	16	700 N BERRY RD	33	Public Assist	19
2024-04-04	5	16	1441 24TH AVE NW	140	Follow Up	16
2024-04-04	5	16	3010 CLASSEN BLVD	54	Alarm Holdup/Panic	27
2024-04-04	5	16	2555 HEMPHILL DR	54	Fraud	22
2024-04-04	5	16	2300 W LINDSEY ST	33	Hemorrhage/Lacerations	31
2024-04-04	5	16	2300 W LINDSEY ST	33	Hemorrhage/Lacerations	31
2024-04-04	5	16	2300 W LINDSEY ST	33	MVA Non Injury	8
2024-04-04	5	17	1117 24TH AVE NW	140	Fraud	22
2024-04-04	5	17	1534 HOLLYWOOD AVE	54	Harassment / Threats Report	22
2024-04-04	5	17	3100 CLASSEN BLVD	140	Traffic Stop	1
2024-04-04	5	17	3700 W MAIN ST	140	Traffic Stop	1
2024-04-04	5	17	1906 144TH AVE SE	140	Welfare Check	4
2024-04-04	5	17	1500 N PORTER AVE	140	Traffic Stop	1
2024-04-04	5	17	1848 W ROBINSON ST	54	Larceny	10
2024-04-04	5	17	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-04	5	17	BILOXI DR / E LINDSEY ST	140	Check Area	15
2024-04-04	5	17	E STATE HWY 9 HWY / 12TH AVE SE	33	Hit and Run	25
2024-04-04	5	17	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	17	3601 N FLOOD AVE	140	Drunk Driver	60
2024-04-04	5	17	1009 CEDARCREST ST	140	Reckless Driving	60
2024-04-04	5	17	805 E ROBINSON ST	12	Assault EMS Needed	32
2024-04-04	5	17	805 E ROBINSON ST	12	Assault EMS Needed	32
2024-04-04	5	17	805 E ROBINSON ST	12	Fight	60
2024-04-04	5	17	1300 BROOKHAVEN BLVD	33	Cardiac Respritory Arrest	42
2024-04-04	5	17	1300 BROOKHAVEN BLVD	33	Cardiac Respritory Arrest	42
2024-04-04	5	17	1300 BROOKHAVEN BLVD	33	Body Reported	72
2024-04-04	5	17	N FLOOD AVE / W ROBINSON ST	140	Reckless Driving	60
2024-04-04	5	17	N JONES AVE / E MOSIER ST	140	Welfare Check	4
2024-04-04	5	17	36TH AVE SE / E LINDSEY ST	54	Hit and Run	25
2024-04-04	5	18	201 W GRAY ST	3	Follow Up	16
2024-04-04	5	18	3233 BISMARC LN	140	Parking Problem	25
2024-04-04	5	18	CLASSEN BLVD / ANN BRANDEN BLVD	140	MVA Non Injury	8
2024-04-04	5	18	1200 E LINDSEY ST	140	Alarm Holdup/Panic	27
2024-04-04	5	18	5401 HUETTNER DR	21	Disturbance/Domestic	4
2024-04-04	5	18	1501 N 8TH ST	140	EMS Mutual Aid	48
2024-04-04	5	18	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	18	ANN BRANDEN BLVD / CLASSEN BLVD	140	Debris in Roadway	72
2024-04-04	5	18	2900 JENKINS AVE	7	Stand By EMS	72
